Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
ALABAMA	Total		6	2	2	1	0					
	Cities		3	2	2	1	0					
		Enterprise	1	0	0	0	0	1	0	0	0	"24	863"
		Hoover	2	2	1	1	0	0	1	2	3	"70	731"
		Tuscaloosa	0	0	1	0	0	1		0	0	"90	157"
	Metropolitan Counties		3	0	0	0	0					
		Lee	2	0	0	0	0			1	1	
		Lowndes	1	0	0	0	0				1	
ALASKA	Total		5	2	1	0	0					
	Cities		5	2	1	0	0					
		Anchorage	4	1	1	0	0	0	2	1	3	"280	068"
		Bethel	1	1	0	0	0		0	1	1	"6	557"
ARIZONA	Total		80	34	25	46	0					
	Cities		69	30	21	42	0					
		Apache Junction	4	0	0	0	0	2	1	0	1	"31	521"
		Avondale	1	0	0	1	0	0	0	1	1	"85	376"
		Bullhead City	0	0	0	1	0	0	0	1	0	"41	976"
		Camp Verde	1	0	0	0	0	0	1	0		"11	011"
		Flagstaff	2	1	1	0	0	0	2	2	0	"60	400"
		Gilbert	3	0	1	1	0	3	1	1	0	"220	373"
		Glendale	4	0	0	4	0	0	5	1	2	"256	659"
		Kingman	3	0	0	2	0	0	2	1	2	"28	725"
		Mesa	4	3	1	5	0	3	3	2	5	"456	821"
		Oro Valley	0	1	0	0	0	0	0	1	0	"40	785"
		Phoenix	35	21	10	23	0	19	22	19	29	"1	585	838"
		Prescott Valley	2	0	0	1	0	0	2	1	0	"39	856"
		Scottsdale	1	0	1	0	0	1		1		"238	905"
		Sierra Vista	0	0	0	1	0	0	1	0	0	"43	642"
		Surprise	0	0	1	0	0	0	0	1	0	"101	141"
		Tempe	3	0	2	1	0	0	0	3	3	"176	388"
		Tucson	4	4	4	1	0	2	6	3	2	"528	917"
		Yuma	2	0	0	1	0	1	0	0	2	"90	245"
	Universities and Colleges		6	2	4	1	0					
		Northern Arizona University	3	0	2	0	0	2	0	2	1	"21	347"
		Pima Community College	0	2	0	0	0			0	2	"32	982"
		University of Arizona	3	0	2	1	0	0	2	2	2	"37	217"
	Metropolitan Counties		5	2	0	2	0					
		Maricopa	3	0	0	1	0	1	1	1	1	
		Pima	2	1	0	0	0	1	1	0	1	
		Pinal	0	0	0	1	0	0	0	0	1	
		Yavapai	0	1	0	0	0	0	1	0	0	
	Nonmetropolitan Counties		0	0	0	1	0					
		Navajo	0	0	0	1	0	1	0	0	0	
ARKANSAS	Total		65	3	18	5	0					
	Cities		44	2	10	2	0					
		Bella Vista	1	0	0	0	0	0	0	0	1	"16	120"
		Benton	2	1	3	0	0	3	3	0	0	"29	121"
		Berryville	1	0	0	0	0	1	0	0	0	"5	284"
		Blytheville	1	0	0	0	0	0	0	1	0	"15	829"
		Bryant	1	0	0	0	0	1	0	0	0	"15	218"
		Cabot	2	0	0	0	0	1	0	1	0	"24	387"
		Clarksville	0	0	1	0	0	0	1	0	0	"8	621"
		Clinton	1	0	0	0	0	0	1	0	0	"2	388"
		Conway	0	0	1	0	0	1	0	0	0	"58	945"
		Danville	0	0	0	1	0	0	0	0	1	"2	472"
		Fort Smith	1	0	1	0	0	1	0	1	0	"84	847"
		Helena-West Helena	16	0	0	0	0	10	5	1	0	"12	147"
		Hot Springs	1	0	0	0	0	0	0	1	0	"39	451"
		Jonesboro	5	1	1	0	0	1	2	4	0	"64	187"
		Judsonia	1	0	0	0	0	1	0	0	0	"2	169"
		Magnolia	1	0	0	0	0	0	0	1	0	"11	083"
