State,Participating agencies,Population covered,Agencies submitting incident reports,Incidents reported
Total,12417,245006413,2037,7163
Alabama,32,455247,0,0
Alaska,1,276109,1,4
Arizona,78,4202942,26,138
Arkansas,205,1703545,66,134
California,725,36132147,252,1379
Colorado,205,4517158,43,125
Connecticut,98,3428766,45,95
Delaware,53,843524,11,45
District of Columbia,2,550521,2,48
Florida,492,17744135,95,231
Georgia,71,1925691,4,17
Idaho,106,1425914,16,33
Illinois,66,5047250,50,168
Indiana,142,3933013,18,54
Iowa,225,2935183,19,37
Kansas,349,2048283,35,72
Kentucky,321,3744693,22,44
Louisiana,133,3248124,10,17
Maine,147,1321505,27,57
Maryland,150,5600388,29,195
Massachusetts,267,5665124,83,371
Michigan,597,9997261,166,640
Minnesota,302,4922821,55,206
Mississippi,67,866704,0,0
Missouri,278,3525724,25,78
Montana,108,935422,25,65
Nebraska,194,1436768,11,71
Nevada,35,2414807,4,77
New Hampshire,140,1019459,23,32
New Jersey,513,8717925,216,738
New Mexico,48,1222522,3,18
New York,302,7869264,43,249
North Carolina,436,8457849,41,89
North Dakota,71,568522,8,12
Ohio,443,8702176,60,176
Oklahoma,297,3547884,33,41
Oregon,168,3636515,26,137
Pennsylvania,916,11564862,36,118
Rhode Island,48,1076189,10,15
South Carolina,446,4254373,50,98
South Dakota,95,533343,7,9
Tennessee,455,5962959,68,128
Texas,997,22839807,79,264
Utah,112,2433318,14,44
Vermont,75,602314,17,32
Virginia,395,7517151,68,295
Washington,252,6281630,55,171
West Virginia,349,1679815,17,47
Wisconsin,359,5289551,20,46
Wyoming,51,380216,3,3
