ALABAMA	Total		5	0	1	0	0					
	Cities		4	0	1	0	0					
		Auburn	1	0	0	0	0	0	1	0	0	53,160
		Hoover	1	0	1	0	0	0	0	0	2	69,527
		Newton	1	0	0	0	0		0		1	1,663
		Tuscaloosa	1	0	0	0	0				1	83,811
	Metropolitan Counties		1	0	0	0	0					
		Tuscaloosa	1	0	0	0	0	0	1			
ALASKA	Total		5	0	2	0	1					
	Cities		5	0	2	0	1					
		Anchorage	5	0	2	0	1	3	3	2	0	284,142
ARIZONA	Total		82	22	27	29	1					
	Cities		73	17	26	24	0					
		Apache Junction	0	1	0	0	0	0	1	0	0	30,925
		Buckeye	0	0	1	1	0	1	0	1	0	34,618
		Chandler	3	0	1	0	0	3	1			250,868
		Chino Valley	1	0	0	0	0	0	1	0		10,886
		Flagstaff	1	0	0	0	0	0	0	1	0	58,978
		Gilbert	4	3	0	0	0	1	4	0	2	206,681
		Glendale	8	2	0	2	0	4	4	3	1	250,444
		Kingman	5	0	0	1	0	3	1	1	1	28,306
		Marana	2	0	0	0	0	0	1	1	0	33,374
		Mesa	4	0	2	3	0	1	3	2	3	454,576
		Paradise Valley	1	0	0	0	0	0	1	0	0	14,594
		Peoria	1	1	0	1	0	0	0	1	2	147,223
		Phoenix	38	9	20	13	0	23	13	27	17	1,541,698
		Prescott Valley	1	0	0	0	0	0	1		0	38,204
		Quartzsite	1	0	0	0	0	1	0	0	0	3,473
		Sedona	0	1	0	0	0	0	0	0	1	11,484
		Show Low	0	0	0	1	0	1	0		0	11,588
		Sierra Vista	1	0	0	0	0	0	0	1		43,441
		Tempe	2	0	1	2	0	1	2	2	0	171,320
		Yuma	0	0	1	0	0	0	0	0	1	88,874
	Universities and Colleges		4	2	1	3	1					
		Arizona State University, Main Campus	0	1	0	0	1	1	0	0	1	51,234
		Northern Arizona University	1	0	1	0	0	1	0	0	1	20,555
		University of Arizona	3	1	0	3	0	5	2	0		36,805
	Metropolitan Counties		4	3	0	2	0					
		Maricopa	2	0	0	0	0	0	0		2	
		Pima	2	3	0	2	0	2	2	1	2	
	Nonmetropolitan Counties		1	0	0	0	0					
		Navajo	1	0	0	0	0	0	0	1	0	
ARKANSAS	Total		21	1	8	3	0					
	Cities		17	0	8	1	0					
		Benton	0	0	1	0	0	0	0	0	1	27,758
		Cherokee Village	0	0	1	0	0	1	0	0	0	4,812
		Crossett	1	0	0	0	0	0	0	0	1	5,623
		De Witt	1	0	0	0	0	0	0	1	0	3,354
		El Dorado	0	0	1	0	0	0	1	0	0	20,200
		Fort Smith	0	0	2	0	0	0	0	2	0	83,860
		Green Forest	2	0	0	0	0	2	0	0	0	2,876
		Hot Springs	1	0	0	0	0	1	0	0	0	38,828
		Jacksonville	2	0	0	1	0	0	1	2	0	30,565
		Jonesboro	1	0	0	0	0	0	0	1	0	61,199
		Lewisville	1	0	0	0	0	0	0	0	1	1,166
		Little Rock	1	0	0	0	0	0	0	0	1	184,594
		Marion	0	0	1	0	0	0	1	0	0	10,331
		Maumelle	1	0	0	0	0	1	0	0	0	15,613
		Morrilton	1	0	0	0	0	1	0	0	0	6,558
		North Little Rock	1	0	0	0	0	1	0	0	0	58,680
		Paragould	0	0	1	0	0	0	0	1	0	24,562
		Sherwood	1	0	1	0	0	0	0	2	0	23,703
		Warren	1	0	0	0	0	0	0	1	0	6,182
		West Memphis	2	0	0	0	0	0	0	2	0	28,137
	Universities and Colleges		1	0	0	0	0					
		University of Central Arkansas	1	0	0	0	0	0	1	0	0	12,330
	Metropolitan Counties		0	1	0	1	0					
		Benton	0	0	0	1	0	0	1	0	0	
		Pulaski	0	1	0	0	0	1	0	0	0	
	Nonmetropolitan Counties		3	0	0	1	0					
		Fulton	1	0	0	0	0	0	0	0	1	
		Montgomery	0	0	0	1	0	0	0	0	1	
		Pope	1	0	0	0	0	0	1	0	0	
		Scott	1	0	0	0	0	0	0	1	0	
CALIFORNIA	Total		674	204	263	256	3					
	Cities		566	166	226	225	3					
		Agoura Hills	0	2	0	1	0	1	1	1	0	22,966
		Alameda	1	0	0	0	0	1	0	0	0	70,445
		Aliso Viejo	0	1	0	0	0	0	0	1	0	41,691
		Anaheim	1	0	1	2	0	1	1	0	2	335,133
		Antioch	1	0	0	0	1	0	0	1	1	101,973
		Atascadero	0	1	0	0	0	0	0	1	0	27,465
		Atwater	1	1	0	0	0	0	1	0	1	27,762
		Azusa	1	0	0	0	0	0	0	1	0	47,403
		Bakersfield	1	1	2	0	0	0	2	0	2	318,743
		Belmont	1	0	0	2	0	1	1	0	1	24,605
		Benicia	1	0	0	0	0	0	0	1	0	26,544
		Berkeley	1	0	1	1	0	2	1	0	0	101,343
		Beverly Hills	0	5	0	0	0	1	0	4	0	35,133
		Bishop	0	0	0	1	0	0	1	0	0	3,566
		Brea	1	0	0	0	0	0	0	0	1	39,041
		Brentwood	1	1	0	0	0	1	0	1	0	52,238
		Buena Park	0	0	0	1	0	0	1	0	0	79,890
		Burbank	3	0	1	3	1	4	1	2	1	104,871
		Calabasas	0	1	1	0	0	1	1	0	0	22,693
		Calexico	0	0	1	0	0	0	0	1	0	38,928
		Camarillo	2	0	0	1	0	0	0	1	2	63,238
		Campbell	0	0	1	0	0	0	0	1	0	37,429
		Carson	1	0	0	0	0	1	0	0	0	94,359
		Ceres	1	0	0	1	0	1	0	1	0	43,427
		Cerritos	1	0	0	0	0	1	0	0	0	52,462
		Chico	1	0	2	2	0	2	2	1	0	74,288
		Chino	2	0	1	1	0	0	3	1	0	80,699
		Chula Vista	0	0	2	0	0	1	1	0	0	218,718
		City of Angels	0	1	1	0	0	0	1	1	0	3,949
		Claremont	2	0	0	0	0	2	0	0	0	35,250
		Clayton	1	0	0	0	0	0	0	1	0	11,252
		Clearlake	3	0	0	0	0	0	2	1	0	15,133
		Clovis	5	0	0	2	0	1	1	3	2	92,592
		Compton	5	0	0	3	0	0	2	3	3	95,990
		Concord	2	3	1	1	0	1	3	2	1	122,202
		Corona	0	0	1	0	0	0	0	0	1	153,518
		Coronado	0	0	1	0	0	0	1	0	0	26,888
		Covina	2	0	0	0	0	1	0	1	0	47,961
		Cypress	2	0	0	0	0	0	1	1	0	47,741
		Daly City	1	0	1	0	0	1	1	0	0	100,632
		Dana Point	0	0	0	1	0	0	0	1	0	36,051
		Danville	0	0	0	1	0	0	0	1	0	41,503
		Davis	7	3	0	1	0	0	4	5	2	61,238
		Del Mar	0	1	0	0	0	0	1	0	0	4,365
		Desert Hot Springs	1	0	0	1	0	1	0	1	0	23,890
		Diamond Bar	3	0	1	0	0	0	1	2	1	57,954
		Downey	2	0	1	1	0	1	2	0	1	109,642
		Duarte	3	0	0	1	0	0	0	2	2	22,255
		Dublin	1	0	0	0	0	0	0	0	1	43,751
		El Cajon	1	0	0	0	0	1	0	0	0	91,302
		Elk Grove	2	0	1	0	0	1	2	0	0	138,103
		El Monte	9	1	1	0	0	2	3	4	2	124,182
		El Segundo	1	0	0	0	0	0	0	0	1	16,533
		Encinitas	0	0	1	0	0	1	0	0	0	59,424
		Escondido	2	0	0	0	0	0	0	2	0	133,429
		Eureka	1	0	0	0	0	0	0	1	0	25,347
		Fillmore	1	1	0	0	0	0	0	2	0	15,219
		Folsom	1	0	0	0	0	0	1	0	0	68,320
		Fort Bragg	1	0	0	13	0	0	0	13	1	6,780
		Fountain Valley	2	0	0	0	0	0	0	2	0	55,973
		Fremont	1	1	0	2	0	1	3	0	0	201,318
		Fresno	7	1	1	0	0	1	2	5	1	472,170
		Fullerton	2	0	0	0	0	0	1	0	1	133,855
		Galt	4	0	0	0	0	1	1	2	0	23,967
		Gardena	1	0	0	0	0	1	0	0	0	59,951
		Garden Grove	2	0	3	4	0	3	3	3	0	166,414
		Gilroy	1	0	0	0	0	0	0	1	0	49,343
		Glendale	3	1	0	4	0	3	3	2	0	200,049
		Glendora	1	0	0	0	0	0	0	0	1	50,495
		Gonzales	0	0	1	0	0	0	1	0	0	8,795
		Grass Valley	1	0	0	0	0	0	0	1	0	12,525
		Hawaiian Gardens	2	0	1	0	0	0	1	2	0	15,510
		Hawthorne	1	0	2	0	0	0	0	2	1	85,609
		Hemet	5	0	1	2	0	1	4	1	2	71,825
		Hercules	1	0	0	0	0	0	1	0	0	25,636
		Hesperia	1	0	0	1	0	1	1	0	0	86,750
		Huntington Beach	4	3	2	0	0	1	1	3	4	195,067
		Huntington Park	1	0	0	1	0	0	0	1	1	62,269
		Inglewood	1	0	0	0	0	0	0	1	0	115,223
		Irvine	0	2	0	0	0	0	0	1	1	201,872
		La Canada Flintridge	2	2	0	0	0	2	1	0	1	21,079
